新车价,表显里程,排量,轴距,最大马力,最大扭矩,前/后排侧气囊,前/后排头部气囊,胎压检测,感应雨刷,前/后排座椅加热,33项 外部配置,缺陷项检测,漆面修复检测,使用时间,中大型SUV,自动,自然吸气,涡轮增压,92号,95号,多点电喷,直喷,混合喷射,前置前驱,电动助力,通风盘式,手刹,电子驻车,长,宽,高
0.14976221,0.43850806,0.21951220000000002,0.81720114,0.29508197,0.37947494,0.5,1.0,1.0,1.0,0.5,8.33e-10,3.4500000000000005e-10,0.33333334,0.41666666,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.80406654,0.5939525,0.18594594
0.22764482,0.625504,0.5121951,0.81720114,0.59016395,0.5226729999999999,0.5,1.0,1.0,1.0,1.0,8.33e-10,0.20689656,0.055555556,0.725,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.80406654,0.5939525,0.18594594
0.14126451,0.8346773999999999,0.12195122,0.81720114,0.2,0.3078759,0.5,1.0,1.0,1.0,0.5,0.5,0.20689656,0.33333334,0.725,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.80406654,0.5939525,0.18594594
0.30139548,0.17288306,0.2682927,0.7868805,0.4622951,0.61813843,0.5,1.0,1.0,1.0,0.5,0.16666667,3.4500000000000005e-10,5.559999999999999e-10,0.5083333,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,0.6495379,0.52915764,0.18594594
0.19209479,0.50302416,0.21951220000000002,0.7906706,0.29508197,0.37947494,0.5,1.0,1.0,1.0,0.5,0.5,3.4500000000000005e-10,0.5,0.64166665,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.7826248,0.63930887,0.12648648
0.31901455,0.4516129,0.2682927,0.8513120000000001,0.57377046,0.61813843,0.5,1.0,1.0,1.0,1e-08,0.16666667,0.06896552,5.559999999999999e-10,0.5,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1.0,1e-08,0.7537893,0.5442765,0.16756757
0.23520696,0.09929436,0.2682927,0.7868805,0.3737705,0.4988067,0.5,1.0,1.0,1.0,0.5,0.083333336,3.4500000000000005e-10,0.16666667,0.31666666,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,0.6417745,0.52915764,0.25405404
0.29492474,0.27721775,0.2682927,0.75918365,0.32786885,0.45107397,0.5,1.0,1.0,1.0,0.5,8.33e-10,0.03448276,5.559999999999999e-10,0.7416666999999999,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1e-08,1e-08,1e-08,1.0,0.6425139,0.5399568,0.43567568
0.19209479,0.45362902,0.21951220000000002,0.7906706,0.29508197,0.37947494,0.5,1.0,1.0,1.0,0.5,8.33e-10,0.5862069000000001,0.6666667,0.475,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.7826248,0.63930887,0.12648648
0.16161221,0.5766129,0.21951220000000002,0.81982505,0.29508197,0.37947494,0.5,1e-08,1.0,1e-08,0.5,8.33e-10,3.4500000000000005e-10,0.16666667,0.6333333000000001,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.80221814,0.5637149,0.1891892
